@relation 'emploiFinal3 (1)'

@attribute ville {Casablanca,Rabat,'Meknès ',Salé,'Marrakech ',Benguerir,'Kenitra ',Agadir,'Fès ','Mohammedia ','Skhirat ',' Safi ','Tanger ','Sala al jadida',' Berrechid ','Oujda ','El Jadida ',Laayoune,'Tout le Maroc','AL HOCEIMA ','Bouskoura ','Errachidia ',' Ain Harrouda ',Guerssif}
@attribute entreprise {Leyton,'Sitel Group','Attijariwafa bank','Sofrecom Services Maroc',Omnishore,'Lydec et SUEZ','Deloitte Nearshore','ORH Assessment','Hit Radio',Richbond,Atos,'Webhelp Maroc',OBS,Umanis,Majorel,'Maroc Climate and Security (MCS) - Carrier','ARIA Tech','Université Mohammed VI Polytechnique',Msin,CDG,'ALTEN Maroc',Crouzet,Stellantis,Unifitel,'TNC  The Next Clic ','Label\'Vie - Carrefour Market','Excel Management Conseil','AXA Rabat (Axa Services)','La Brigade de Casa','Intelcia ITS','SQLI Maroc','INTM Mediterranée',Aria,'Manpower Agences',Altados,'Al Hoceinia','Adria Business & Technology','Fondation Marocaine pour la Promotion de l\'enseignement préScolaire',Opus.RH,Cnexia,Coficab,'DXC Technology Maroc','Epil Tech Maroc',Eumatech,Welink,Accytime,'AXA Group Operations Maroc','CGI Technologies et Solutions Maroc','HP SEARCH','Reactive Executive',Imacab,'Perenity Software',S3M,Ecolys,Madaef,'BMCI Groupe BNP Paribas','Oceane Consulting','Atlas Pharm','Eca Assurances','Meski Invest - Riva Industries','Leet initiative',Ventec,Preci,Novec,'Isossell Groupe','Econocom Maroc','Comdata Group','LCI Education','Université Internationale de Rabat',Coface,'HPS Maroc',Neosys,'Atlas On Line',Involys,Comicom,Maymana,'SMBL Food',Eqdom,TeamDEV,'Royale Marocaine d\'Assurance',Finéa,'TP-Link Morocco','APM Terminals','Alter Ipso','GO RH Maroc','La Marocaine vie',Mubawab.ma,'McDonald\'s Maroc','Winpa Phone','Bank Of Africa','Safran Nacelles','Foods and Goods',OCBM,'EnerGetic Link','O&D Services','Disty technologies','Auto Nejma Maroc S.A.','Aptiv Maroc  (ex Delphi)',CRIT,'Groupe ODM','CAC (Centrale Automobile Chérifienne)','Air Arabia','Ratp dev Casablanca','Société des Boissons du Maroc','Société Marocaine des Tabacs','Annour Technologies','AKKA Technologies','Sogea Maroc','ATOZMA Services','Consort Maroc','Groupe Adaming',FGT,'Digital Virgo',OFPPT,'Fonds d\'Equipement Communal (FEC)','Groupe Renault','Safran Engineering Services Maroc','Générale routière','Groupe Assu 2000',Karinvest,Alumetaux,'Rifl Biometrics','Fondation Arrawaj','Société de Développement Local Nouaceur Développement','A.LAZRAK Immobilier','KLK Khayatey Living','Pharma Pilot',Dekra}
@attribute secteur_act {' Aéronautique / Spatial',' Informatique',' Centre d\'appel',' Banque / Finance',' BTP / Génie Civil',' Autres services',' Audiovisuel',' Agence pub / Marketing Direct',' Conseil / Etudes',' Comptabilité / Audit',' Telecom',' Electro-mécanique / Mécanique',' Autres Industries',' Automobile / Motos / Cycles',' Offshoring / Nearshoring',' Distribution',' Assurance / Courtage',' Internet / Multimédia',' Recrutement / Intérim',' Cosmétique / Parfumerie / Luxe',' Energie',' Agriculture / Environnement',' Agroalimentaire',' Immobilier / Promoteur / Agence',' Enseignement / Formation',' Transport / Messagerie / Logistique',' Pharmacie / Santé',' Juridique / Cabinet d’avocats',' Métallurgie / Sidérurgie'}
@attribute fonction {' Méthodes / Process / Industrialisation',' Gestion projet / Etudes / R&D',' Administration des ventes / SAV',' Banque',' Call Centers',' Informatique / Electronique',' Communication / Publicité / RP',' Télécoms / Réseaux',' Informatique / Electronique / Multimédia / Internet',' RH / Personnel / Formation',' Avocat / Juriste / Fiscaliste',' Gestion / Comptabilité / Finance',' Logistique / Transport',' Audit / Conseil',' Commercial / Vente / Export',' Achats / Supply Chain',' Marketing',' Assurance',' Immobilier / Promotion',' Journalisme / Traduction',' Distribution',' Production / Qualité / Sécurité / Maintenance',' Assistanat de Direction / Services Généraux',' Travaux / Chantiers / BTP',' Agriculture',' Caméraman / Monteur / Preneur de son',' Environnement',' Enseignement',' Santé / Social',' Multimédia / Internet',' Hôtellerie / Restauration',' Médical / Paramédical'}
@attribute experience {' De 1 à 3 ans',' Moins de 1 an',' De 5 à 10 ans',' De 10 à 20 ans',' De 3 à 5 ans',' Débutant'}
@attribute niv_etude {' Bac +4',' Bac +5 et plus',' Bac',' Bac +2',' Bac +3',' Qualification avant Bac',' Autodidacte',' Bac +1'}
@attribute contrat {' CDI',' Stage',' Autre',' CDD',' Freelance'}
@attribute titre {'Ingénieur ','Conseiller Technique ','Conseiller Client',Analyste,Responsable,'Chef de Projet ','Operations Manager ','Ingénieur Java J2EE','Architecte IT','Team Lead ',Auditeur,'Chargé de Communication ',Stagiaire,'Infographiste ','Développeur ','Ingénieur infrastructure',Consultant,'Ingénieur Support Applicatif',Technicien,'Tech Lead','Responsable RH ','Téléconseiller ','Ingénieur Etude et Développement','Administrateur IT','Conseiller Commercial ',Commercial,'Juriste ','Conseiller en Assurance',Comptable,'Ingénieur Testeur','Chargé Administratif',Coordinateur,'Gestionnaire ',Assistant,'Chef de projet IT ',Acheteur,'Expert Technique ','Ingénieur Informatique ',Manager,'Formateur ','Ingénieur DevOps ','Ingénieur Réseau et Sécurité','Concepteur Développeur ','Contrôleur de Gestion','Scrum Master ','Référent technique ','Consultant IT',Journaliste,'Chargé de Développement','Chargé de Sécurité ','Opérateur Agricole ','Responsable régional ','Directeur ','Responsable Commercial','Chargé de Recouvrement','Chargés d\'Etudes','Responsable Marketing ',Cadre,'Responsable IT ','Chargé d\'Affaires ','Responsable Administratif ','Animateur ','Community Manager ','Infirmier ','Chef d\'équipe ','Administrateur des ventes','Contrôleur ','Chargé de Mission ','Chargé d\'Approvisionnement','Chef de Service ','Expert UX/UI ','Responsable maintenance ','Ingénieur Système','Business Process Owner ','Professeur ','Délégué médical','Responsable Achats ','Chargé des Relations Entreprises','Agent de facturation ','Hôtesse d\'Accueil ','Enseignant de sport polyvalent ','Dessinateur industriel ','Chef Atelier'}

@data
Casablanca,'Sitel Group',' Centre d\'appel',' Call Centers',' Moins de 1 an',' Bac',' CDI','Conseiller Client'
Casablanca,S3M,' Automobile / Motos / Cycles',' Commercial / Vente / Export',' De 5 à 10 ans',' Bac +4',' CDI','Responsable régional '
Casablanca,'Sitel Group',' Centre d\'appel',' Call Centers',' Moins de 1 an',' Bac +2',' CDI','Conseiller Client'
Casablanca,Altados,' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Ingénieur Réseau et Sécurité'
'Tanger ',S3M,' Banque / Finance',' Gestion / Comptabilité / Finance',' De 3 à 5 ans',' Bac +4',' CDI',Analyste
'Mohammedia ',Ecolys,' Agroalimentaire',' Communication / Publicité / RP',' De 1 à 3 ans',' Bac +5 et plus',' CDI','Chef de Projet '
Rabat,Madaef,' Agence pub / Marketing Direct',' Communication / Publicité / RP',' De 3 à 5 ans',' Bac +4',' CDI','Chargé de Communication '
Casablanca,'TNC  The Next Clic ',' Internet / Multimédia',' Commercial / Vente / Export',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Directeur '
Casablanca,Crouzet,' Autres Industries',' RH / Personnel / Formation',' Débutant',' Bac +5 et plus',' Autre','Responsable RH '
Salé,Welink,' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 3 à 5 ans',' Bac +5 et plus',' Freelance','Développeur '
Casablanca,'HP SEARCH',' BTP / Génie Civil',' Banque',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Responsable Commercial'
Rabat,'Sitel Group',' Centre d\'appel',' Call Centers',' De 1 à 3 ans',' Bac +2',' CDI','Team Lead '
Casablanca,'BMCI Groupe BNP Paribas',' Autres Industries',' Gestion / Comptabilité / Finance',' De 5 à 10 ans',' Bac +5 et plus',' CDI',Manager
Casablanca,'Oceane Consulting',' Informatique',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI',Analyste
' Berrechid ','Atlas Pharm',' Offshoring / Nearshoring',' Gestion / Comptabilité / Finance',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Contrôleur de Gestion'
Casablanca,'Sofrecom Services Maroc',' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Scrum Master '
'Oujda ','Eca Assurances',' Assurance / Courtage',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Développeur '
Casablanca,'Sofrecom Services Maroc',' Informatique',' Informatique / Electronique',' De 1 à 3 ans',' Bac +5 et plus',' CDI','Développeur '
Rabat,Eumatech,' Immobilier / Promoteur / Agence',' Assistanat de Direction / Services Généraux',' De 5 à 10 ans',' Bac +4',' CDI',Manager
Rabat,'Excel Management Conseil',' Informatique',' Audit / Conseil',' De 10 à 20 ans',' Bac +4',' Freelance',Auditeur
Casablanca,'Perenity Software',' Informatique',' Informatique / Electronique',' Débutant',' Bac +5 et plus',' Stage','Ingénieur Etude et Développement'
Rabat,'Sitel Group',' Centre d\'appel',' Call Centers',' De 1 à 3 ans',' Bac',' CDI','Conseiller Client'
'El Jadida ','Meski Invest - Riva Industries',' Autres Industries',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Ingénieur '
Casablanca,Leyton,' Comptabilité / Audit',' RH / Personnel / Formation',' De 1 à 3 ans',' Bac +3',' CDI','Gestionnaire '
' Safi ','Leet initiative',' Enseignement / Formation',' Informatique / Electronique',' De 3 à 5 ans',' Bac +3',' CDI','Formateur '
Casablanca,'Intelcia ITS',' Offshoring / Nearshoring',' Commercial / Vente / Export',' De 3 à 5 ans',' Bac +3',' CDI','Team Lead '
Rabat,'Université Mohammed VI Polytechnique',' Autres services',' RH / Personnel / Formation',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Responsable RH '
'Sala al jadida','Sofrecom Services Maroc',' Informatique',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Ingénieur DevOps '
Casablanca,'Maroc Climate and Security (MCS) - Carrier',' Autres services',' Call Centers',' De 1 à 3 ans',' Bac +3',' CDD','Chargé de Recouvrement'
Casablanca,'Deloitte Nearshore',' Informatique',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Architecte IT'
Casablanca,'Manpower Agences',' Transport / Messagerie / Logistique',' Commercial / Vente / Export',' De 1 à 3 ans',' Bac +3',' Autre',Commercial
Casablanca,'Lydec et SUEZ',' BTP / Génie Civil',' Gestion projet / Etudes / R&D',' De 1 à 3 ans',' Bac +3',' CDI','Chargés d\'Etudes'
Casablanca,'Sofrecom Services Maroc',' Informatique',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI',Analyste
Casablanca,Crouzet,' Autres Industries',' Gestion / Comptabilité / Finance',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Contrôleur de Gestion'
Casablanca,'Lydec et SUEZ',' BTP / Génie Civil',' Gestion projet / Etudes / R&D',' De 1 à 3 ans',' Bac +5 et plus',' CDI','Ingénieur '
Casablanca,Altados,' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' Freelance','Ingénieur DevOps '
Casablanca,Altados,' Banque / Finance',' Informatique / Electronique',' De 10 à 20 ans',' Bac +5 et plus',' CDI','Chef de Projet '
Casablanca,Ventec,' Agence pub / Marketing Direct',' Marketing',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Responsable Marketing '
Casablanca,Preci,' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Développeur '
Agadir,Novec,' BTP / Génie Civil',' Travaux / Chantiers / BTP',' De 10 à 20 ans',' Bac +2',' CDI',Cadre
Rabat,'Hit Radio',' Audiovisuel',' RH / Personnel / Formation',' Débutant',' Bac +5 et plus',' Stage',Stagiaire
Casablanca,Atos,' Informatique',' Informatique / Electronique',' Débutant',' Bac +5 et plus',' CDI','Ingénieur Testeur'
Casablanca,'BMCI Groupe BNP Paribas',' Informatique',' Banque',' De 1 à 3 ans',' Bac +5 et plus',' CDI','Chef de Projet '
Casablanca,'BMCI Groupe BNP Paribas',' Banque / Finance',' Banque',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Responsable IT '
Casablanca,'BMCI Groupe BNP Paribas',' Banque / Finance',' Informatique / Electronique',' De 10 à 20 ans',' Bac +5 et plus',' CDI','Responsable IT '
Casablanca,'BMCI Groupe BNP Paribas',' Banque / Finance',' Banque',' De 3 à 5 ans',' Bac +5 et plus',' CDI',Manager
Casablanca,'Deloitte Nearshore',' Conseil / Etudes',' Gestion projet / Etudes / R&D',' De 3 à 5 ans',' Bac +5 et plus',' CDI',Consultant
Casablanca,'CGI Technologies et Solutions Maroc',' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Ingénieur Java J2EE'
'Mohammedia ',Ecolys,' Agroalimentaire',' Marketing',' De 3 à 5 ans',' Bac +5 et plus',' CDI',Manager
Casablanca,Altados,' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' Freelance','Développeur '
Casablanca,'Attijariwafa bank',' Banque / Finance',' Banque',' De 5 à 10 ans',' Bac +5 et plus',' CDI',Comptable
Casablanca,'BMCI Groupe BNP Paribas',' Banque / Finance',' Banque',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Chef de Projet '
Salé,'AXA Rabat (Axa Services)',' Informatique',' Informatique / Electronique',' De 1 à 3 ans',' Bac +4',' CDI','Ingénieur Testeur'
Casablanca,'BMCI Groupe BNP Paribas',' Autres Industries',' RH / Personnel / Formation',' De 10 à 20 ans',' Bac +5 et plus',' CDI','Responsable RH '
'Skhirat ','Label\'Vie - Carrefour Market',' Distribution',' Achats / Supply Chain',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Chef de Projet '
Casablanca,Atos,' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Ingénieur Etude et Développement'
Casablanca,Atos,' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 5 à 10 ans',' Bac +4',' CDI',Consultant
Casablanca,Preci,' Informatique',' Informatique / Electronique',' De 1 à 3 ans',' Bac +5 et plus',' CDI','Consultant IT'
Casablanca,Preci,' Informatique',' Banque',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Expert Technique '
Casablanca,Preci,' Informatique',' Informatique / Electronique',' De 10 à 20 ans',' Bac +5 et plus',' CDI','Directeur '
Rabat,CDG,' Banque / Finance',' Banque',' De 1 à 3 ans',' Bac +5 et plus',' CDI','Gestionnaire '
Rabat,'Isossell Groupe',' Centre d\'appel',' Call Centers',' Moins de 1 an',' Autodidacte',' CDI','Chargé d\'Affaires '
Casablanca,Unifitel,' Centre d\'appel',' Banque',' De 1 à 3 ans',' Bac +2',' CDI','Conseiller Commercial '
'Sala al jadida','Econocom Maroc',' Informatique',' Informatique / Electronique',' Moins de 1 an',' Bac +2',' CDI',Technicien
Casablanca,'Comdata Group',' Centre d\'appel',' Call Centers',' Moins de 1 an',' Qualification avant Bac',' CDI','Téléconseiller '
Casablanca,'CGI Technologies et Solutions Maroc',' Informatique',' Informatique / Electronique',' De 1 à 3 ans',' Bac +5 et plus',' CDI',Consultant
Casablanca,'LCI Education',' Enseignement / Formation',' Commercial / Vente / Export',' De 3 à 5 ans',' Bac +5 et plus',' CDI',Responsable
Rabat,'Université Internationale de Rabat',' Agence pub / Marketing Direct',' Marketing',' De 1 à 3 ans',' Bac +5 et plus',' CDI','Chargé de Communication '
Casablanca,Atos,' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Ingénieur Etude et Développement'
Casablanca,Umanis,' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Administrateur IT'
Casablanca,'TNC  The Next Clic ',' Informatique',' Informatique / Electronique',' De 3 à 5 ans',' Bac +3',' CDI','Développeur '
Rabat,'Sitel Group',' Centre d\'appel',' RH / Personnel / Formation',' De 1 à 3 ans',' Bac +5 et plus',' CDI','Responsable RH '
Rabat,'Sitel Group',' Centre d\'appel',' Call Centers',' De 1 à 3 ans',' Bac +2',' CDI','Conseiller Client'
Rabat,'Sitel Group',' Centre d\'appel',' Administration des ventes / SAV',' De 1 à 3 ans',' Bac +3',' CDI','Conseiller Client'
Rabat,'Sitel Group',' Centre d\'appel',' Call Centers',' De 1 à 3 ans',' Bac +2',' CDI',Manager
Rabat,'Sitel Group',' Centre d\'appel',' Gestion projet / Etudes / R&D',' De 1 à 3 ans',' Bac +3',' CDI','Operations Manager '
Rabat,'Sitel Group',' Centre d\'appel',' Call Centers',' Moins de 1 an',' Bac +2',' CDI','Conseiller Client'
Rabat,'Sitel Group',' Centre d\'appel',' Administration des ventes / SAV',' De 1 à 3 ans',' Bac +2',' CDI',Manager
Rabat,Aria,' Centre d\'appel',' Commercial / Vente / Export',' De 1 à 3 ans',' Bac +3',' CDI','Conseiller Commercial '
Rabat,'Isossell Groupe',' Offshoring / Nearshoring',' Call Centers',' De 1 à 3 ans',' Bac +3',' CDI','Conseiller Commercial '
Rabat,Aria,' Centre d\'appel',' Commercial / Vente / Export',' De 1 à 3 ans',' Bac +3',' CDI',Commercial
Rabat,Aria,' Centre d\'appel',' Call Centers',' De 1 à 3 ans',' Bac +3',' CDI','Chargé d\'Affaires '
Rabat,Aria,' Centre d\'appel',' Call Centers',' De 1 à 3 ans',' Bac +3',' CDI','Téléconseiller '
Casablanca,'ORH Assessment',' Autres services',' Avocat / Juriste / Fiscaliste',' De 5 à 10 ans',' Bac +3',' CDI','Responsable Administratif '
Rabat,'Sitel Group',' Centre d\'appel',' Administration des ventes / SAV',' De 1 à 3 ans',' Bac +3',' CDI',Analyste
'Sala al jadida','Econocom Maroc',' Informatique',' Informatique / Electronique',' Moins de 1 an',' Bac +2',' CDI',Technicien
Rabat,OBS,' Informatique',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Développeur '
Rabat,OBS,' Informatique',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Ingénieur Testeur'
Rabat,OBS,' Informatique',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Ingénieur DevOps '
Casablanca,Coface,' Assurance / Courtage',' Gestion projet / Etudes / R&D',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Chef de Projet '
'Oujda ','SQLI Maroc',' Informatique',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Expert Technique '
Casablanca,'HPS Maroc',' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' CDI',Manager
Casablanca,'BMCI Groupe BNP Paribas',' Autres Industries',' RH / Personnel / Formation',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Responsable RH '
'Oujda ','SQLI Maroc',' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Ingénieur Java J2EE'
Rabat,'Webhelp Maroc',' Informatique',' Télécoms / Réseaux',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Expert Technique '
Casablanca,'Comdata Group',' Centre d\'appel',' Call Centers',' Moins de 1 an',' Bac',' CDI','Téléconseiller '
Rabat,Accytime,' Centre d\'appel',' Call Centers',' De 1 à 3 ans',' Bac +2',' CDI','Chef de Projet '
Casablanca,'Comdata Group',' Centre d\'appel',' Call Centers',' Débutant',' Qualification avant Bac',' CDI','Téléconseiller '
'Oujda ','SQLI Maroc',' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 5 à 10 ans',' Bac +4',' CDI','Expert Technique '
Casablanca,'Comdata Group',' Centre d\'appel',' Call Centers',' Débutant',' Qualification avant Bac',' CDI','Téléconseiller '
'Oujda ','SQLI Maroc',' Informatique',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Chef de projet IT '
'Oujda ','SQLI Maroc',' Informatique',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Ingénieur Informatique '
Rabat,'Webhelp Maroc',' Telecom',' Télécoms / Réseaux',' De 1 à 3 ans',' Bac +5 et plus',' CDI','Ingénieur Réseau et Sécurité'
Rabat,'Webhelp Maroc',' Telecom',' Télécoms / Réseaux',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Ingénieur Réseau et Sécurité'
Casablanca,'Comdata Group',' Centre d\'appel',' Administration des ventes / SAV',' Moins de 1 an',' Qualification avant Bac',' CDI','Conseiller Client'
Casablanca,'Comdata Group',' Centre d\'appel',' Call Centers',' Moins de 1 an',' Qualification avant Bac',' CDI','Téléconseiller '
Casablanca,'Attijariwafa bank',' Banque / Finance',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Administrateur IT'
'Oujda ','SQLI Maroc',' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Concepteur Développeur '
'Fès ',Cnexia,' Informatique',' RH / Personnel / Formation',' De 1 à 3 ans',' Bac +5 et plus',' CDI','Responsable RH '
Casablanca,Altados,' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Ingénieur DevOps '
Casablanca,Altados,' Banque / Finance',' Informatique / Electronique / Multimédia / Internet',' De 10 à 20 ans',' Bac +5 et plus',' CDI','Chef de Projet '
Casablanca,Altados,' Informatique',' Télécoms / Réseaux',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Ingénieur Réseau et Sécurité'
Casablanca,Altados,' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Consultant IT'
Casablanca,Altados,' Informatique',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Ingénieur '
Casablanca,Altados,' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Ingénieur Testeur'
Casablanca,Leyton,' Conseil / Etudes',' Environnement',' De 1 à 3 ans',' Bac +5 et plus',' CDI','Chargés d\'Etudes'
Casablanca,Altados,' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Développeur '
Rabat,'ALTEN Maroc',' Automobile / Motos / Cycles',' Méthodes / Process / Industrialisation',' De 1 à 3 ans',' Bac +2',' CDI',Technicien
Rabat,'ALTEN Maroc',' Automobile / Motos / Cycles',' Méthodes / Process / Industrialisation',' De 1 à 3 ans',' Bac +2',' CDI',Technicien
Rabat,'ALTEN Maroc',' Automobile / Motos / Cycles',' Méthodes / Process / Industrialisation',' De 1 à 3 ans',' Bac +2',' CDI',Technicien
'Fès ','ALTEN Maroc',' Informatique',' Informatique / Electronique',' De 1 à 3 ans',' Bac +5 et plus',' CDI','Ingénieur Testeur'
Rabat,'ALTEN Maroc',' Automobile / Motos / Cycles',' Méthodes / Process / Industrialisation',' De 1 à 3 ans',' Bac +5 et plus',' CDI','Ingénieur '
Rabat,'ALTEN Maroc',' Automobile / Motos / Cycles',' Méthodes / Process / Industrialisation',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Ingénieur '
Rabat,'ALTEN Maroc',' Automobile / Motos / Cycles',' Méthodes / Process / Industrialisation',' De 1 à 3 ans',' Bac +2',' CDI',Technicien
Casablanca,Leyton,' Conseil / Etudes',' RH / Personnel / Formation',' De 1 à 3 ans',' Bac +5 et plus',' CDI','Responsable RH '
Casablanca,Leyton,' Conseil / Etudes',' Audit / Conseil',' De 3 à 5 ans',' Bac +5 et plus',' CDI',Consultant
'Meknès ','Meski Invest - Riva Industries',' Comptabilité / Audit',' Audit / Conseil',' De 1 à 3 ans',' Bac +5 et plus',' CDI',Auditeur
'Meknès ','Meski Invest - Riva Industries',' BTP / Génie Civil',' Audit / Conseil',' De 1 à 3 ans',' Bac +5 et plus',' CDI','Contrôleur de Gestion'
'Meknès ','Meski Invest - Riva Industries',' Distribution',' Commercial / Vente / Export',' De 3 à 5 ans',' Bac +3',' CDI','Responsable Commercial'
Benguerir,'Université Mohammed VI Polytechnique',' Autres Industries',' Enseignement',' De 5 à 10 ans',' Bac +2',' CDI',Technicien
Casablanca,Altados,' Conseil / Etudes',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' Freelance','Chef de Projet '
Rabat,'Université Mohammed VI Polytechnique',' Enseignement / Formation',' Administration des ventes / SAV',' De 3 à 5 ans',' Bac +4',' CDI',Assistant
Rabat,Neosys,' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Développeur '
Casablanca,'Atlas On Line',' Banque / Finance',' Call Centers',' De 1 à 3 ans',' Bac +2',' CDI','Conseiller Client'
'Sala al jadida','Sofrecom Services Maroc',' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Ingénieur DevOps '
'Sala al jadida','Sofrecom Services Maroc',' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Concepteur Développeur '
Rabat,OBS,' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Ingénieur Java J2EE'
Salé,Novec,' BTP / Génie Civil',' RH / Personnel / Formation',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Responsable RH '
Rabat,'Hit Radio',' Audiovisuel',' Journalisme / Traduction',' De 1 à 3 ans',' Bac +5 et plus',' Autre','Animateur '
Casablanca,Involys,' Informatique',' Gestion projet / Etudes / R&D',' De 3 à 5 ans',' Bac +5 et plus',' CDI',Consultant
'Kenitra ',Comicom,' Automobile / Motos / Cycles',' Commercial / Vente / Export',' De 1 à 3 ans',' Bac +4',' CDI','Conseiller Commercial '
Casablanca,'LCI Education',' Agence pub / Marketing Direct',' Marketing',' De 1 à 3 ans',' Bac +4',' CDI','Community Manager '
Rabat,'ALTEN Maroc',' Automobile / Motos / Cycles',' Méthodes / Process / Industrialisation',' Moins de 1 an',' Bac +5 et plus',' CDI','Chef de Projet '
'Fès ','ALTEN Maroc',' Informatique',' Informatique / Electronique',' Débutant',' Bac +2',' Autre',Technicien
Rabat,'ALTEN Maroc',' Automobile / Motos / Cycles',' Méthodes / Process / Industrialisation',' Moins de 1 an',' Bac +2',' CDI',Technicien
Laayoune,'Manpower Agences',' BTP / Génie Civil',' Gestion / Comptabilité / Finance',' De 1 à 3 ans',' Bac +4',' CDI',Assistant
Casablanca,'Label\'Vie - Carrefour Market',' Distribution',' Production / Qualité / Sécurité / Maintenance',' De 1 à 3 ans',' Bac +2',' CDI','Chargé de Sécurité '
Laayoune,'Manpower Agences',' BTP / Génie Civil',' Achats / Supply Chain',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Ingénieur '
Rabat,'SQLI Maroc',' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 5 à 10 ans',' Bac +4',' CDI','Expert Technique '
Rabat,'SQLI Maroc',' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 3 à 5 ans',' Bac +4',' CDI','Concepteur Développeur '
Rabat,'SQLI Maroc',' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 3 à 5 ans',' Bac +4',' CDI','Concepteur Développeur '
Rabat,'SQLI Maroc',' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 3 à 5 ans',' Bac +4',' CDI','Concepteur Développeur '
Rabat,'SQLI Maroc',' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 5 à 10 ans',' Bac +4',' CDI','Expert Technique '
Casablanca,'Comdata Group',' Centre d\'appel',' Call Centers',' De 5 à 10 ans',' Bac +1',' CDI',Responsable
